# LOG-energy minimizing points, hierarchical order
# DIM = 9   (sphere S^8)
# components: H11, H22, H12, G1_11, G1_22, G1_12, G2_11, G2_22, G2_12
# the first N rows are themselves an optimized N-point set
#
# Active subspace is S^2; columns 4..9 are exact zeros.
-4.55745613651986681e-01 +7.15612254208919496e-01 +5.29334523022070735e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+5.19284396862267350e-01 -3.71008081323573602e-01 -7.69867987883631866e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+9.26681723924449724e-02 -7.26793689931931275e-01 -6.80575890037673936e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-2.26747287321621173e-02 +7.67285915288829390e-01 -6.40904190091082571e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-2.09617623861396901e-01 -3.15745516753680400e-01 -9.25400032643533876e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+3.37013632364254523e-01 +4.30902253638868526e-01 -8.37105166278165669e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-9.39549941567847546e-01 -1.23146588550181540e-01 -3.19500899886536849e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+5.18696348144100816e-01 +4.65033828783460501e-01 +7.17424307163458841e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-8.56523651516199330e-02 +8.81553514963207219e-01 +4.64248933870556213e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+3.82354173048476298e-01 +8.02361660010889821e-01 -4.58280539513718610e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-8.50464616272632590e-01 -5.24269205790598658e-01 -4.30318060036857797e-02 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-7.72514771776641518e-01 -4.87749413204612903e-01 +4.06597389693341915e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+3.72004636052290394e-01 +9.17342697861850187e-01 +1.41756571047501195e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+6.91021786962968121e-01 -6.99714341752621261e-01 -1.81352501742331390e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
